mode,hint,tag2,question,tag1,necessary_info,subtype,extra_info,cipher,archetype,vulnerability,flag,ciphertext,difficulty
,Caesar ciphers are easily broken by brute force or frequency analysis.,,"A secret Roman order left a coded message. Can you reveal their hidden plans from the ancient scroll? Decipher: xdsy{33xzfpeq}

The flag format is flag{...}",,The flag format is flag{...},caesar,The shift used is: 18,Caesar,classical_cipher,,flag{33fhnxmy},xdsy{33xzfpeq},easy
,Vigenère ciphers are vulnerable to Kasiski examination and frequency analysis.,,"
An old hacker left a note labeled ""Vigenère"" in a hidden wallet. Inside: gykj{qtamwq5u}. Can you recover the passphrase and unlock its secret?


The flag format is flag{...}
The keyword is: bnkd",,"The flag format is flag{...}
The keyword is: bnkd",vigenere,,Vigenère,classical_cipher,,flag{pgqjvd5k},gykj{qtamwq5u},not defined
,Playfair is vulnerable to digraph frequency analysis.,,"A spy encoded the vault's coordinates with Playfair cipher. Decode uncrgefdcgpepvlbzemqgefdcgmznfemlepolbbstvurcrgefdcgpepvlbplxgsgtbegtzsaraznpibrepvqvhurzbbiphnfabqbxctvlbwkmzzhhvlzegcklmgstxatvhubvhuripnilzokgmqceyigdu to uncover the secret location!

The flag format is flag{...}
The keyword is: xuwfoouf",,"The flag format is flag{...}
The keyword is: xuwfoouf",playfair,"The playfair table is [['x', 'u', 'w', 'f', 'o'], ['a', 'b', 'c', 'd', 'e'], ['g', 'h', 'i', 'k', 'l'], ['m', 'n', 'p', 'q', 'r'], ['s', 't', 'v', 'y', 'z']]",Playfair,classical_cipher,,flag{pddzhlbf},uncrgefdcgpepvlbzemqgefdcgmznfemlepolbbstvurcrgefdcgpepvlbplxgsgtbegtzsaraznpibrepvqvhurzbbiphnfabqbxctvlbwkmzzhhvlzegcklmgstxatvhubvhuripnilzokgmqceyigdu,not defined
,Hill ciphers can be broken using known-plaintext attacks and linear algebra mod 26.,,"
A secret society encoded their meeting location with a Hill cipher. Can you uncover the address hidden in this cryptic scramble: aynmauwxsxtyanwwonbbmtbahohwvfonowndcnndmeacylpeaeqgglkyertagerzhqnbav?


The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",hill,"The matrix used is: [[23, 10], [0, 19]]",Hill,classical_cipher,,flag{sbpvuplq},aynmauwxsxtyanwwonbbmtbahohwvfonowndcnndmeacylpeaeqgglkyertagerzhqnbav,not defined
,Rail Fence is a simple transposition cipher vulnerable to reconstruction by analyzing positions.,,"Intercepted at midnight: a scrambled message meant for rival spies. Can you decode fa{2qzolgrpqw} using the Rail Fence cipher to uncover their secret plan?

The flag format is flag{...}",,The flag format is flag{...},rail_fence,The rails value is: 2,Rail Fence,classical_cipher,,flag{r2pqqzwo},fa{2qzolgrpqw},not defined
,Simple substitution ciphers are susceptible to frequency analysis.,,"An unknown sender left a coded message in your inbox. It's clear: each letter was swapped for another. Can you recover the original message from sj hmnedxzmteyn, t oacodsdadsxj hseygm so t igdyxu xl gjhmnedsjz sj fyshy ajsdo xl ektsjdgwd tmg mgekthgu fsdy dyg hseygmdgwd, sj t uglsjgu itjjgm, fsdy dyg ygke xl t bgn; dyg ""ajsdo"" itn cg osjzkg kgddgmo (dyg ixod hxiixj), etsmo xl kgddgmo, dmsekgdo xl kgddgmo, iswdamgo xl dyg tcxqg, tju ox lxmdy. dyg mghgsqgm ughseygmo dyg dgwd cn egmlxmisjz dyg sjqgmog oacodsdadsxj emxhgoo dx gwdmthd dyg xmszsjtk igootzg. ksbgfsog, rthpago pashbkn vseegu dymxazy t pagodsxj xj vgmx-bjxfkguzg emxxlo, gjoamsjz jx hmsdshtk kgddgm fto kgld xad xl xam hmnedxzmteysh eavvkg.lktz{upaindny}?

The flag format is flag{...}",,The flag format is flag{...},substitution,"The substitution map is: {'a': 't', 'b': 'c', 'c': 'h', 'd': 'u', 'e': 'g', 'f': 'l', 'g': 'z', 'h': 'y', 'i': 's', 'j': 'r', 'k': 'b', 'l': 'k', 'm': 'i', 'n': 'j', 'o': 'x', 'p': 'e', 'q': 'p', 'r': 'm', 's': 'o', 't': 'd', 'u': 'a', 'v': 'q', 'w': 'f', 'x': 'w', 'y': 'n', 'z': 'v'}",Substitution,classical_cipher,,flag{dqumytyh},"sj hmnedxzmteyn, t oacodsdadsxj hseygm so t igdyxu xl gjhmnedsjz sj fyshy ajsdo xl ektsjdgwd tmg mgekthgu fsdy dyg hseygmdgwd, sj t uglsjgu itjjgm, fsdy dyg ygke xl t bgn; dyg ""ajsdo"" itn cg osjzkg kgddgmo (dyg ixod hxiixj), etsmo xl kgddgmo, dmsekgdo xl kgddgmo, iswdamgo xl dyg tcxqg, tju ox lxmdy. dyg mghgsqgm ughseygmo dyg dgwd cn egmlxmisjz dyg sjqgmog oacodsdadsxj emxhgoo dx gwdmthd dyg xmszsjtk igootzg. ksbgfsog, rthpago pashbkn vseegu dymxazy t pagodsxj xj vgmx-bjxfkguzg emxxlo, gjoamsjz jx hmsdshtk kgddgm fto kgld xad xl xam hmnedxzmteysh eavvkg.lktz{upaindny}",not defined
,Columnar transposition ciphers can be broken by analyzing column lengths and patterns.,,"
Agent X hid the exit code in a scrambled message. Unscramble this transposition-cipher text to reveal your way out: Ipaasti(karti)eorocasoocc(stwuntaeevroohersaxplrrrorrcnratpcpeiauohityemtip,htgpiuoitndgute.ieeeeasnutnasyfoeitahieVhcehlntestdderon(.{dyr,nicroneacrmdciirepifasni)oaghthlTpipretleylaegsaecialsouithsmitaxefostisconetfsaxianesssphfcwroosiorneocnsscplhGprlgaepmdeoAcciad)g6}ntptpipansmipitfynhmtsnhttpiitghrrmeasneouoitiyasofasogererehxcptnen.drsiohwdceoonfnbscenhlDtdrbeniabuot,atmdnolekAXeox-icitlhevdyndAf56cohroohloauohshepwsbhisaerootcieasssnicrrnfn(cccoucc)rtgsmoaetheaoptTifutnehohtsniptuthtieveeieenstnstpitreb,hrcreDcrmhqtrohieraEpSaEll8rgyasneswptneaonthcletorrasnhhnccte.stisdipttahtrphtadouytdcrwirtflehfrbucrinahiotleteahtmestfnttpidtieoheniaiiistFiopiuyynokmnnnttrSaee


The flag format is flag{...}",,The flag format is flag{...},transposition,"The key length is 5, and the key order is [0, 4, 1, 2, 3].",Transposition,classical_cipher,,flag{5le6d68e},"Ipaasti(karti)eorocasoocc(stwuntaeevroohersaxplrrrorrcnratpcpeiauohityemtip,htgpiuoitndgute.ieeeeasnutnasyfoeitahieVhcehlntestdderon(.{dyr,nicroneacrmdciirepifasni)oaghthlTpipretleylaegsaecialsouithsmitaxefostisconetfsaxianesssphfcwroosiorneocnsscplhGprlgaepmdeoAcciad)g6}ntptpipansmipitfynhmtsnhttpiitghrrmeasneouoitiyasofasogererehxcptnen.drsiohwdceoonfnbscenhlDtdrbeniabuot,atmdnolekAXeox-icitlhevdyndAf56cohroohloauohshepwsbhisaerootcieasssnicrrnfn(cccoucc)rtgsmoaetheaoptTifutnehohtsniptuthtieveeieenstnstpitreb,hrcreDcrmhqtrohieraEpSaEll8rgyasneswptneaonthcletorrasnhhnccte.stisdipttahtrphtadouytdcrwirtflehfrbucrinahiotleteahtmestfnttpidtieoheniaiiistFiopiuyynokmnnnttrSaee",not defined
,"Autokey ciphers are vulnerable once enough plaintext is known, allowing reconstruction of the key.",,"
Intercepted in a hacker forum, a file labeled “Autokey_vault.txt” contains a cryptic note. Can you decrypt its secret? Ciphertext: qr ulku pesg, aug rwwtymprt gpscymmkz neaeiel eifbsi genugz.fwmu{koswsh1s}


The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 4 and only alphabetic characters count.",,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 4 and only alphabetic characters count.",autokey,The key seed is: ieql,Autokey,classical_cipher,,flag{svffsu1p},"qr ulku pesg, aug rwwtymprt gpscymmkz neaeiel eifbsi genugz.fwmu{koswsh1s}",not defined
,The message is encoded multiple times with Base64. Decode iteratively to recover the original flag.,,"An agent intercepted a suspicious encoded message. Can you decode the hidden clue from this Base64 string? Vm0xd1NtUXlWa1pPVldoVFlUSlNjRlJVVGtOalZsSlZVMnBTYUZKc1duaFZNbmhQVkd4YWRHVkdjRnBOUmxsM1dWVlZlR05yTlZaalJsWlhWbXRaZWxaVldrWlBWa0pTVUZRd1BRPT0=

The flag format is flag{...}",,The flag format is flag{...},base64_layered,Encoded 7 times in total.,Base64,classical_cipher,,flag{2dgnk2dp},Vm0xd1NtUXlWa1pPVldoVFlUSlNjRlJVVGtOalZsSlZVMnBTYUZKc1duaFZNbmhQVkd4YWRHVkdjRnBOUmxsM1dWVlZlR05yTlZaalJsWlhWbXRaZWxaVldrWlBWa0pTVUZRd1BRPT0=,easy
,"Morse Code represents each letter as a series of dots and dashes. Spaces separate letters, and slashes separate words.",,"An old radio transmission intercepted last night carries hidden coordinates. Decode the Morse code message: ..-. .-.. .- --. { --- --.- -..- ...- ----- .-.. ...- .--. }

The flag format is flag{...}",,The flag format is flag{...},morse_code,"Morse Code follows international standards, with letters separated by spaces and words separated by slashes.",Morse Code,classical_cipher,,flag{oqxv0lvp},..-. .-.. .- --. { --- --.- -..- ...- ----- .-.. ...- .--. },not defined
